Name,Degrees,Department,Department2,Rank,AdministrativePosition
"Abada,Teresa ","BA, Ph.D. Alberta; ",Sociology ,Womens' Studies ,Associate Professor ,
"Abdel Galil,Khadry Ahmed ",DDS BDS at ALEXANDRIA ; Ph.D. at Western ; Ph.D. at VANDERBILT ,Anatomy & Cell Biology/Dentistry ,,Associate Professor ,
"Abdel Malek,Gihan ",MBBS Egypt Cairo Univ ,Family Medicine - General ,,Adjunct/MD ,
"Abell,Nicholas A ","BA St Lawrence Univ USA, MD U of Manitoba ",Family Medicine - General/Schulich - Education Office ,,Adjunct/MD ,
"Abelson,Donald Edward ","BA Toronto; MA, Ph.D. Queen's; MA Western; ",Political Science/Centre for American Studies ,,Professor ,
"Abid,Zine Eddine ","BA Algeria, Ph.D. Minnesota ",Electrical & Computer ,,Adjunct Research Professor ,
"Abouhassan,Tyceer ",BSc Univ of Windsor; MD Univ of Ottawa ,Department of Medicine/Schulich - Education ,,Adjunct/MD ,
"Abu-Zahra,Hakam ","MB, Cairo Univ, EGY; MD, Medical Council of Canada ",Family Medicine - General ,,Adjunct/MD ,
"Abuhajar,Osama Salem A. ","MSc., Civil Engineering, Univ of Garyounis ",Civil & Environmental ,,Lecturer ,
"Abushawish,Ghassan ",MD at TISHREEN ,Family Medicine - General ,,Adjunct/MD ,
"Acres,William Dixon ",BA Canada; MA/Ph.D. GBR ,History ,,Assistant Professor ,
"Acton,Richard Douglas ","BA Royal Military College,ON; BED Western ",Education - Preservice Office ,,Lecturer ,
"Adamiak,Kazimierz ","DSC Gdansk; MSc, Ph.D. Szczecin Poland; PEng ; ",Electrical & Computer ,,Professor ,
"Adamowicz,Emily Jane ",BMUS McGill Univ ,Music - Research & Composition ,,Lecturer ,
"Adams,Brent T ",(no degrees) ,Music - Performance Studies ,,Lecturer ,
"Adams,Howard Franklyn ",MD at Western ,Schulich - Education Office/Surgery ,,Adjunct/MD ,
"Adams,Joel Curtis ",BMUS McGill Univ ,Electrical & Computer ,,Lecturer ,
"Adams,Paul C ",MD Queen's; FRCPCan ,Department of Medicine/Pathology ,,Professor/MD ,
"Adams,Scott Gordon ",BSc ; MHSc Toronto; Ph.D. Wisconsin; ,Clinical Neurological Science ,Communicative Sci & Disorders ,Professor ,
"Adams,Stephen J ","BA Minnesota; MA, Ph.D. Toronto; ",English ,,Professor ,
"Adams,Susan J ",FRCPCan MD at SOUTHAMPTON ,Psychiatry - Ext Camp Program ,,Adjunct/MD ,
"Adams,Tracey Lynn ","BA, MA ; Ph.D. Toronto; ",Sociology ,,Professor ,Department Chair 
"Adamson,Bonnie Jean ","Professional Designation, Canada; Masters, Canada ",Nursing ,,Adjunct Assistant Professor ,
"Adamson,Melitta ",BA Vienna; MA Waterloo; Ph.D. Toronto; ,History of Medicine ,Modern Languages & Literatures ,Professor ,
"Adamus,Janusz A ","MSc Jagiellonian Poland, Ph.D. Univ of Toronto ",Mathematics ,,Assistant Professor ,
"Adcock,James Robert ","BSc, MSc ; ",Statistics & Actuarial Science ,,Lecturer ,
"Adegboyega-Conde,Omotola L ","MBBS, NGA ",Psychiatry - Ext Camp Program ,,Adjunct/MD ,
"Adem,Alejandro ","BSc UNAM Mexicao, Ph.D. Princeton ",Mathematics ,,Adjunct Research Professor ,
"Adie,Mohammad Amin ",MD Aleppo Univ SYRIAN ARAB REPUBLIC ,Schulich - Education Office/Paediatrics ,,Adjunct/MD ,
"Adlam,Wayne Douglas ",BA Waterloo; MBA Western ,Business - Associate Dean ,,Lecturer ,
"Aggarwal,Seema ",MBBS at PUNJAB AGR ,Schulich - Education Office/Family Medicine - General ,,Adjunct/MD ,
"Aggarwal,Shilpa ","BMS/BS Punjab Univ, IND; ",Family Medicine - General ,,Adjunct/MD ,
"Agocs,Carol ",BA Rochester; MA Chicago; MBA York(Can); Ph.D. Wayne State; ,Political Science ,,Professor Emerita/Adjunct Research Professor ,
"Agrawal,Sumit Kishore ",BSc at NEW BRUNSWIC ; MD FRCPCan at Western ,Otolaryngology ,National Centre for Audiology ,Assistant Professor/MD ,Research Director 
"Ahluwalia,Simran ","MBBS India, Gov't Med Coll Patalia ",Psychiatry ,,Adjunct/MD ,
"Ahmad,Belal ",MD at Queen's ; BS at TORONTO ,Oncology ,,Assistant Professor/MD ,Program Director 
"Ahmad,Dildar ",MD The Royal College of Physicians of Ireland; FRCPCan ,Department of Medicine ,,Professor Emeritus ,
"Ahmad,Mohamad ",BSc at CALGARY ; FRCP at MCMASTER ; MD at Western ,Anesthesia-Perioperative Med ,,Assistant Professor/MD ,
"Ahmad,Saadia ",BA MA Ph.D. at WINDSOR ,Psychiatry - Ext Camp Program ,,Lecturer ,
"Ahmad,Saima W ",Certificate Pakistan; MBCHB Pakistan ,Psychiatry - Ext Camp Program ,,Adjunct/MD ,
"Ahmed,Abdelaziz A. ",MBBS at KHARTOUM ,Schulich - Education Office/Department of Medicine ,,Adjunct/MD ,
